baby products retailer	0	0	0
baby products retailer	0	2	1
baby products retailer	0	3	1
baby products retailer	0	4	2
baby products retailer	0	5	1
baby products retailer	0	6	2
baby products retailer	0	7	2
baby products retailer	0	8	0
baby products retailer	1	0	0
baby products retailer	1	1	0
baby products retailer	1	2	0
baby products retailer	1	3	2
baby products retailer	1	4	0
baby products retailer	1	5	0
baby products retailer	1	6	0
baby products retailer	1	7	2
baby products retailer	1	8	2
baby products retailer	1	9	1
baby products retailer	2	1	3
baby products retailer	2	2	3
baby products retailer	2	3	3
baby products retailer	2	4	2
baby products retailer	2	5	0
baby products retailer	2	6	0
baby products retailer	2	7	0
baby products retailer	2	8	1
baby products retailer	2	9	0
baby products retailer	3	2	0
baby products retailer	3	3	0
baby products retailer	3	4	1
baby products retailer	3	5	0
baby products retailer	3	6	2
baby products retailer	3	7	0
baby products retailer	3	8	3
baby products retailer	3	9	1
baby products retailer	4	1	2
baby products retailer	4	2	2
baby products retailer	4	3	3
baby products retailer	4	4	1
baby products retailer	4	5	1
baby products retailer	4	6	0
baby products retailer	4	7	1
baby products retailer	4	8	2
baby products retailer	4	9	2
baby products retailer	5	0	2
baby products retailer	5	1	2
baby products retailer	5	2	1
baby products retailer	5	3	0
baby products retailer	5	4	0
baby products retailer	5	5	1
baby products retailer	5	6	2
baby products retailer	5	7	2
baby products retailer	5	8	2
baby products retailer	5	9	0
baby products retailer	6	0	2
baby products retailer	6	1	0
baby products retailer	6	2	0
baby products retailer	6	3	2
baby products retailer	6	4	1
baby products retailer	6	5	1
baby products retailer	6	6	2
baby products retailer	6	7	2
baby products retailer	6	8	2
baby products retailer	6	9	2
baby products retailer	7	2	3
baby products retailer	7	3	2
baby products retailer	7	4	1
baby products retailer	7	5	1
baby products retailer	7	6	0
baby products retailer	7	7	0
baby products retailer	7	8	2
baby products retailer	7	9	0
baby products retailer	8	0	2
baby products retailer	8	1	1
baby products retailer	8	2	2
baby products retailer	8	3	1
baby products retailer	8	4	1
baby products retailer	8	5	1
baby products retailer	8	6	0
baby products retailer	8	7	1
baby products retailer	8	8	1
baby products retailer	8	9	0
baby products retailer	9	0	2
baby products retailer	9	1	1
baby products retailer	9	2	1
baby products retailer	9	3	1
baby products retailer	9	4	1
baby products retailer	9	5	1
baby products retailer	9	6	2
baby products retailer	9	7	2
baby products retailer	9	8	1
baby products retailer	9	9	1
beauty retailer	0	0	1
beauty retailer	0	1	0
beauty retailer	0	2	2
beauty retailer	0	4	0
beauty retailer	0	5	0
beauty retailer	0	6	0
beauty retailer	0	7	0
beauty retailer	0	8	0
beauty retailer	0	9	1
beauty retailer	1	0	0
beauty retailer	1	1	0
beauty retailer	1	2	1
beauty retailer	1	3	0
beauty retailer	1	4	0
beauty retailer	1	5	0
beauty retailer	1	6	0
beauty retailer	1	7	2
beauty retailer	1	8	0
beauty retailer	1	9	0
beauty retailer	2	0	0
beauty retailer	2	1	0
beauty retailer	2	2	2
beauty retailer	2	3	2
beauty retailer	2	4	0
beauty retailer	2	5	0
beauty retailer	2	6	0
beauty retailer	2	7	0
beauty retailer	2	8	0
beauty retailer	2	9	0
beauty retailer	3	0	0
beauty retailer	3	1	1
beauty retailer	3	2	0
beauty retailer	3	3	0
beauty retailer	3	4	0
beauty retailer	3	5	0
beauty retailer	3	6	0
beauty retailer	3	7	0
beauty retailer	3	8	0
beauty retailer	3	9	0
beauty retailer	4	0	0
beauty retailer	4	1	0
beauty retailer	4	2	2
beauty retailer	4	3	0
beauty retailer	4	4	0
beauty retailer	4	6	2
beauty retailer	4	7	0
beauty retailer	4	8	0
beauty retailer	4	9	0
beauty retailer	5	0	0
beauty retailer	5	1	1
beauty retailer	5	2	0
beauty retailer	5	3	0
beauty retailer	5	4	1
beauty retailer	5	5	0
beauty retailer	5	6	0
beauty retailer	5	7	0
beauty retailer	5	8	0
beauty retailer	5	9	3
beauty retailer	6	1	2
beauty retailer	6	2	1
beauty retailer	6	3	0
beauty retailer	6	4	1
beauty retailer	6	5	0
beauty retailer	6	6	0
beauty retailer	6	7	0
beauty retailer	6	8	0
beauty retailer	7	1	0
beauty retailer	7	2	0
beauty retailer	7	3	0
beauty retailer	7	4	0
beauty retailer	7	5	0
beauty retailer	7	6	1
beauty retailer	7	7	0
beauty retailer	7	8	0
beauty retailer	7	9	0
beauty retailer	8	0	3
beauty retailer	8	1	2
beauty retailer	8	2	0
beauty retailer	8	3	0
beauty retailer	8	4	0
beauty retailer	8	5	0
beauty retailer	8	6	0
beauty retailer	8	7	0
beauty retailer	8	8	0
beauty retailer	8	9	0
beauty retailer	9	0	0
beauty retailer	9	1	0
beauty retailer	9	2	0
beauty retailer	9	3	0
beauty retailer	9	4	2
beauty retailer	9	5	0
beauty retailer	9	6	0
beauty retailer	9	7	0
beauty retailer	9	8	0
beauty retailer	9	9	0
camera & photo retailer	0	1	1
camera & photo retailer	0	2	0
camera & photo retailer	0	3	2
camera & photo retailer	0	4	1
